AER,KZN,81
ASF,KZN,132
ASF,MRV,75
CEK,KZN,75
CEK,OVB,135
DME,KZN,98
DME,NBC,67
DME,UUA,74
EGO,KGD,87
EGO,KZN,147
GYD,NBC,236
KGD,EGO,143
KZN,AER,82
KZN,ASF,41
KZN,CEK,56
KZN,DME,91
KZN,EGO,60
KZN,LED,135
KZN,SVX,144
LED,KZN,118
LED,NBC,112
LED,UUA,109
MRV,ASF,103
NBC,DME,124
NBC,GYD,485
NBC,LED,32
NBC,SVX,103
NJC,SVX,48
NJC,UUA,86
NUX,SVX,133
OVB,CEK,142
OVB,SVX,96
SVX,KZN,96
SVX,NBC,127
SVX,NJC,96
SVX,NUX,92
SVX,OVB,149
UUA,DME,125
UUA,LED,83
UUA,NJC,49
BTK,IKT,130
BTK,OVB,87
CEK,OVB,112
HTA,IKT,47
IKT,BTK,76
IKT,HTA,91
IKT,ODO,53
IKT,OVB,98
IKT,UKX,53
IKT,ULK,52
IKT,YKS,69
MJZ,OVB,43
ODO,IKT,36
OVB,BTK,134
OVB,CEK,83
OVB,IKT,131
UKX,IKT,92
ULK,IKT,92
YKS,IKT,125
AYP,LIM,61
CUZ,LIM,117
CUZ,PEM,138
HUU,LIM,102
IQT,PCL,79
IQT,TPP,98
LIM,AYP,93
LIM,CUZ,142
LIM,HUU,122
LIM,PCL,30
LIM,TPP,41
PCL,IQT,61
PCL,LIM,108
PCL,TPP,113
PEM,CUZ,96
TPP,IQT,99
TPP,LIM,71
TPP,PCL,38
ABJ,BOY,357
ABJ,OUA,655
ACC,OUA,797
BKO,ABJ,437
BKO,DKR,754
BKO,OUA,190
BOY,ABJ,944
BOY,OUA,89
COO,LFW,435
COO,OUA,291
DKR,BKO,877
DKR,OUA,140
LFW,OUA,375
NIM,OUA,66
OUA,ABJ,741
OUA,ACC,231
OUA,BKO,832
OUA,BOY,53
OUA,COO,279
OUA,DKR,255
OUA,LFW,498
OUA,NIM,730
BOG,GYE,587
BOG,UIO,443
CLO,GYE,205
GYE,BOG,660
GYE,CLO,158
GYE,SCY,147
GYE,UIO,107
OCC,UIO,69
SCY,GYE,93
UIO,BOG,818
UIO,GYE,63
UIO,OCC,135
BDS,ZRH,498
BOD,ZRH,925
BRS,ZRH,375
GVA,LPA,391
LCA,ZRH,478
LPA,ZRH,503
RMF,ZRH,564
TFS,GVA,789
ZRH,BDS,418
ZRH,BOD,708
ZRH,BRS,129
ZRH,LCA,947
ZRH,LPA,374
ZRH,RMF,408
AJR,LYC,37
ARN,GEV,123
ARN,HAD,126
ARN,JKG,73
ARN,KRF,136
ARN,KSD,131
ARN,LYC,84
ARN,MHQ,211
ARN,OER,57
ARN,POR,466
ARN,TRF,143
ARN,VBY,67
ARN,VHM,97
ARN,VXO,49
GEV,ARN,127
GEV,KRF,108
HAD,ARN,43
HAD,JKG,112
HAD,VXO,131
HMV,VHM,70
JKG,ARN,86
JKG,HAD,80
KOK,POR,53
KRF,ARN,92
KRF,GEV,98
KSD,ARN,56
LYC,AJR,113
LYC,ARN,76
MHQ,ARN,619
MHQ,TKU,72
OER,ARN,76
OSL,VXO,164
POR,ARN,306
POR,KOK,39
TKU,MHQ,85
TRF,ARN,99
VBY,ARN,97
VHM,ARN,93
VHM,HMV,90
VXO,ARN,140
VXO,OSL,458
ADQ,KLN,126
KLN,KYK,107
BSO,MNL,73
BXU,MNL,59
CBO,MNL,140
CGY,MNL,88
CRM,MNL,121
DGT,MNL,42
DWC,MNL,981
GES,MNL,37
KLO,MNL,128
LGP,MNL,80
MNL,BSO,81
MNL,BXU,117
MNL,CBO,125
MNL,CGY,148
MNL,CRM,120
MNL,DGT,79
MNL,DWC,244
MNL,GES,118
MNL,KLO,137
MNL,LGP,33
MNL,MPH,50
MNL,OZC,138
MNL,PPS,137
MNL,RXS,73
MNL,SUG,147
MNL,TUG,131
MNL,ZAM,127
MPH,MNL,39
OZC,MNL,119
PPS,MNL,38
RXS,MNL,103
SUG,MNL,117
TUG,MNL,100
ZAM,MNL,101
AUX,PMW,86
BRA,BSB,133
BRA,SSA,127
BSB,BRA,53
BSB,OPS,42
BSB,RAO,142
CAC,GRU,50
CGB,GYN,36
CGB,OPS,30
CGR,DOU,46
DOU,CGR,111
DOU,GRU,123
GIG,RAO,128
GRU,CAC,133
GRU,DOU,74
GRU,RAO,136
GRU,UBA,33
GRU,UDI,71
GRU,VDC,64
GYN,CGB,126
GYN,PMW,85
GYN,RAO,72
GYN,UDI,118
OPS,BSB,139
OPS,CGB,95
PLU,RAO,137
PMW,AUX,96
PMW,GYN,43
RAO,BSB,141
RAO,GIG,121
RAO,GRU,46
RAO,GYN,134
RAO,PLU,125
RAO,SJP,140
RAO,UDI,133
SJP,RAO,56
SSA,BRA,89
SSA,VDC,128
UBA,GRU,84
UBA,UDI,61
UDI,GRU,135
UDI,GYN,79
UDI,RAO,116
UDI,UBA,117
VDC,GRU,107
VDC,SSA,76
BRL,ORD,140
BRL,STL,34
DEC,ORD,88
DEC,STL,104
JBR,STL,103
ORD,BRL,43
ORD,DEC,129
STL,BRL,46
STL,DEC,98
STL,JBR,48
KTN,MTM,98
MTM,KTN,32
ACC,DKR,321
ACC,LOS,539
ACC,ROB,749
BCN,BJL,203
BJL,BCN,636
BJL,DKR,121
BJL,FNA,192
CKY,OXB,812
DKR,ACC,286
DKR,BJL,389
DKR,DLA,284
DKR,FNA,876
DKR,LOS,65
DKR,OXB,177
DLA,DKR,220
DLA,LOS,490
FNA,BJL,350
FNA,DKR,829
FNA,LGW,826
FNA,ROB,523
LGW,FNA,434
LOS,ACC,121
LOS,DKR,353
LOS,DLA,849
LOS,ROB,795
OXB,CKY,805
OXB,DKR,685
ROB,ACC,73
ROB,FNA,228
ROB,LOS,552
AKV,YIK,60
AKV,YPX,102
XGR,YVP,72
YGL,YGW,149
YGL,YPX,32
YGL,YUL,100
YGW,YGL,50
YGW,YPH,135
YGW,YSK,102
YGW,YUD,42
YGW,YUL,146
YGW,YUY,119
YIK,AKV,69
YIK,YZG,70
YKG,YPJ,53
YKG,YQC,147
YKG,YVP,87
YKL,YQB,81
YKL,YVP,73
YKL,YWK,145
YKL,YZV,81
YPH,YPX,147
YPH,YUD,121
YPH,YVP,34
YPJ,YKG,138
YPJ,YTQ,84
YPJ,YVP,85
YPX,AKV,149
YPX,YGL,133
YPX,YPH,52
YPX,YVP,120
YQB,YKL,94
YQB,YUL,65
YQC,YKG,78
YQC,YWB,98
YSK,YGW,117
YSK,YUD,100
YTQ,YPJ,94
YTQ,YVP,117
YUD,YGW,123
YUD,YPH,103
YUD,YSK,138
YUL,YGL,109
YUL,YGW,31
YUL,YQB,118
YUL,YUY,82
YUY,YGW,84
YUY,YUL,138
YVP,XGR,118
YVP,YGW,42
YVP,YKG,87
YVP,YKL,132
YVP,YPH,109
YVP,YPJ,95
YVP,YPX,67
YVP,YTQ,76
YWB,YQC,80
YWB,YZG,124
YWK,YKL,125
YWK,YZV,101
YZG,YIK,102
YZG,YWB,79
YZV,YKL,134
YZV,YWK,81
JIB,DXB,440
JIB,JED,618
JIB,MGQ,301
MGQ,NBO,657
NBO,MGQ,674
BKK,SIN,842
DRW,SIN,183
HAK,SIN,620
HGH,SIN,617
HKG,SIN,144
HKT,SIN,602
KIX,MNL,124
KIX,TPE,609
KUL,SIN,793
MNL,KIX,287
MNL,SIN,574
PEN,SIN,322
PER,SIN,782
PNH,SIN,66
REP,SIN,429
RGN,SIN,926
SGN,SIN,382
SIN,BKK,556
SIN,DRW,470
SIN,HAK,601
SIN,HGH,471
SIN,HKG,154
SIN,HKT,558
SIN,KUL,557
SIN,MNL,340
SIN,PEN,781
SIN,PER,472
SIN,PNH,462
SIN,REP,310
SIN,RGN,902
SIN,SGN,278
SIN,SWA,621
SIN,TPE,791
SWA,SIN,297
TPE,KIX,53
TPE,SIN,406
ACH,EBA,410
DRS,ZRH,703
DUS,FDH,43
EBA,ACH,225
EBA,FDH,158
EBA,MUC,809
EBA,ZRH,676
FDH,DUS,30
FDH,EBA,859
FDH,HAM,123
FDH,OLB,419
FDH,TXL,141
FDH,ZAD,468
FMM,NAP,254
GRZ,ZRH,511
HAM,FDH,67
MUC,EBA,832
NAP,FMM,185
OLB,FDH,168
SZG,ZRH,420
TXL,FDH,67
ZAD,FDH,890
ZRH,DRS,226
ZRH,EBA,176
ZRH,GRZ,369
ZRH,SZG,129
ATL,LWB,90
ATL,MCN,53
ATL,MEI,52
ATL,MSL,88
ATL,PIB,143
ATL,TUP,121
BIM,FLL,516
ELH,FLL,361
ELH,PBI,336
EYW,FLL,81
EYW,RSW,111
EYW,TPA,72
FLL,BIM,959
FLL,ELH,140
FLL,EYW,129
FLL,FPO,360
FLL,GGT,613
FLL,GHB,117
FLL,MCO,142
FLL,MHH,923
FLL,TCB,848
FLL,TPA,108
FPO,FLL,177
GGT,FLL,479
GGT,GHB,130
GHB,FLL,291
GLH,TUP,68
GNV,MCO,140
GNV,TPA,117
JAX,MHH,976
JAX,TPA,107
LWB,ATL,51
MCN,ATL,95
MCN,MCO,64
MCO,FLL,92
MCO,GNV,50
MCO,MCN,125
MCO,MHH,348
MCO,PNS,113
MCO,RSW,78
MCO,TLH,111
MEI,ATL,119
MHH,FLL,722
MHH,JAX,478
MHH,MCO,421
MHH,PBI,263
MSL,ATL,39
PBI,ELH,848
PBI,MHH,310
PBI,TPA,145
PIB,ATL,73
PNS,MCO,114
PNS,TPA,133
RSW,EYW,148
RSW,MCO,112
TCB,FLL,297
TLH,MCO,101
TLH,TPA,124
TPA,EYW,40
TPA,FLL,80
